title,country,release_year,duration,rating,genre,description
Running Shaadi,India,2017,115 min,,"Comedies, International Movies, Romantic Movies","A Bihari migrant runs a successful service to help couples elope, until the daughter of his former boss stirs the pot."
Kidnapping Mr. Heineken,"Netherlands, Belgium, United Kingdom, United States",2015,95 min,10,"Action & Adventure, Dramas, International Movies","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
XXx,United States,2002,124 min,6,"Action & Adventure, Sports Movies",A notorious underground rush-seeker deemed untouchable by the law is coerced into cooperating with the government to infiltrate a Russian crime ring.
Big Kill,United States,2018,126 min,6,Action & Adventure,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.
The Mayor,South Korea,2017,130 min,7,"Dramas, International Movies","With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
Tig,United States,2015,92 min,,"Documentaries, Stand-Up Comedy",Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.
Shorts,"United States, United Arab Emirates",2009,89 min,,"Children & Family Movies, Comedies",Chaos erupts when locals learn that an 11-year-old boy has discovered a mysterious rock that grants the wishes of whoever possesses it.
Big Miracle,"United States, United Kingdom",2012,107 min,,"Children & Family Movies, Dramas","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events."
Locked Up,United States,2017,86 min,7,"Action & Adventure, Dramas, Independent Movies","After getting in a fight at her school in Southeast Asia, an American teen is sent to a correctional facility, where she faces hard labor and abuse."
Maya Memsaab,"France, United Kingdom, India",1993,122 min,8,"Dramas, International Movies, Music & Musicals","A beautiful, wealthy woman’s insatiable appetite for romance leads to tragedy and a police investigation."
Justice,United Arab Emirates,2018,1 Season,9,"Crime TV Shows, International TV Shows, TV Dramas","Defying pressure to join her father's firm, a determined young lawyer strikes out on her own and fights to maintain faith in Abu Dhabi's justice system."
Because We're Heading Out,Egypt,2016,99 min,9,"Comedies, International Movies",Trouble and high jinks ensue when a man and woman stumble on a bag full of money while out on the town.
Despite Everything,Spain,2019,79 min,6,"Comedies, International Movies, Romantic Movies","After their mother's death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy."
Taal,India,1999,177 min,,"Dramas, International Movies, Music & Musicals","Businessman Manav falls for aspiring singer Mansi, but their romance faces an uphill climb when Manav must depart and Mansi's suave manager moves in."
The Time Traveler's Wife,United States,2009,107 min,9,"Dramas, Romantic Movies, Sci-Fi & Fantasy","Due to a genetic disorder, handsome librarian Henry involuntarily zips through time, appearing at various moments in the life of his true love."
Woody Woodpecker,United States,2017,91 min,4,"Children & Family Movies, Comedies",A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.
Juanita,United States,2019,90 min,,"Dramas, Independent Movies, Romantic Movies","Burdened by troubles in life and love, a mother of three grown children searches for hope and healing on an impromptu trip to Paper Moon, Montana."
The Last Exorcism,"France, United States",2010,88 min,,"Horror Movies, Independent Movies, Thrillers","Ready to expose his miraculous deeds as mere trickery, a famed evangelist invites a documentary crew to film his final exorcism."
Kill Hitler! The Luck of the Devil,France,2015,53 min,7,"Documentaries, International Movies","From politicians to officers, many attempted to kill Hitler – and failed. This documentary delves into the details of how their plots unraveled."
The River Thief,United States,2016,87 min,4,"Dramas, Independent Movies","A heedless teen drifter who falls for a small-town waitress makes the mistake of robbing a drug lord, putting his life and newfound love in jeopardy."
Boi,Spain,2018,111 min,,"Dramas, Independent Movies, International Movies",A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.
Deon Cole: Cole Hearted,United States,2019,70 min,6,Stand-Up Comedy,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp."""
Gerald's Game,United States,2017,103 min,5,"Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
King of Boys,Nigeria,2018,182 min,4,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
Jackie: A Tale of Two Sisters,United Kingdom,2017,44 min,,Documentaries,"Rachael Stirling narrates this multifaceted portrait of former First Lady Jacqueline Kennedy Onassis and her younger sister, Lee Radziwill."
Lionheart,Nigeria,2018,95 min,,"Comedies, Dramas, Independent Movies","When her father falls ill, Adaeze steps up to run the family business – alongside her uncle – and prove herself in a male-dominated world."
Phantom Boy,"France, Belgium",2015,85 min,8,"Action & Adventure, Dramas, International Movies",A boy whose illness allows him to float outside his body uses his newfound skill to help a cop take on a madman who's terrorizing New York City.
Surga Yang Tak Dirindukan 2,Indonesia,2017,119 min,7,"Dramas, Faith & Spirituality, International Movies","In this sequel to the award-winning 2015 film, Pras, Arini and Meirose face new challenges that could change the dynamic of their unique love triangle."
Daagdi Chaawl,India,2015,118 min,,"Action & Adventure, Dramas, International Movies",A simple man's peaceful life is complicated when an incident brings him in contact with a gangster and launches his journey into the underworld.
Handsome Devil,Ireland,2016,95 min,4,"Comedies, Dramas, International Movies","A self-described outsider is sent to a rugby-obsessed boarding school, where he forms an unexpected bond with the star player."
Heal,United States,2017,107 min,9,Documentaries,"Stories from spiritual leaders, physicians and those with chronic illnesses reveal the powerful connection between the human psyche and physical health."
Danny Says,United States,2015,103 min,5,"Documentaries, Music & Musicals","This documentary profiles eccentric publicist Danny Fields, who helped launch the careers of innovative new artists who would become musical icons."
Jagat,Malaysia,2015,76 min,,"Dramas, International Movies","In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles’ lives of crime."
Movie 43,United States,2013,94 min,,Comedies,"An eye-popping cast stars in this sketch-comedy collage, the new millennium's homage to classic anthology films like The Kentucky Fried Movie."
Romantik Komedi 2: Bekarlığa Veda,Turkey,2013,105 min,8,"Comedies, International Movies, Romantic Movies","Didem tries everything to get actor Cem to propose to her, but he's got other things on his mind: a beautiful new co-star and a secret bachelor party."
Kanavu Variyam,India,2017,104 min,,"Comedies, Dramas, International Movies","Despite doubts from fellow villagers who think he’s crazy, an ambitious dropout commits himself to solving a persistent local electricity crisis."
"Crouching Tiger, Hidden Dragon","Taiwan, Hong Kong, United States, China",2000,120 min,10,"Action & Adventure, International Movies, Romantic Movies",A young woman in ancient China longs for an adventurous life rather than a dull arranged marriage in Ang Lee's Oscar-winning martial arts epic.
Dedemin Fisi,Turkey,2016,101 min,,"Comedies, International Movies","When a brain-dead family patriarch is about to be taken off life support, his extended family gathers round and plots to see who'll get his money."
The Lives of Others,Germany,2006,138 min,,"Dramas, International Movies, Thrillers","As a secret police agent eavesdrops on a successful writer in East Germany in 1984, he becomes increasingly fascinated by the man's life and politics."
Submission,United States,2019,95 min,5,"Action & Adventure, Dramas","After a near-death trip home, a Marine looking to help his comrade survive returns to the underground world of MMA, where new battles await."
Monty Python and the Holy Grail,United Kingdom,1975,92 min,10,"Action & Adventure, Classic Movies, Comedies",The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.
Ascharyachakit!,India,2018,90 min,,"Dramas, Independent Movies, International Movies","Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer."
Dear Santa,Canada,2011,92 min,,"Comedies, Romantic Movies","Finding a letter mailed to Santa by a girl asking for a new wife for her daddy, twentysomething Crystal sets out to make the girl's wishes come true."
Running for Grace,United States,2018,110 min,,"Dramas, Romantic Movies","In 1920s Hawaii, a young man of mixed race and the daughter of a white plantation owner must overcome racial and class prejudice to be together."
Red Christmas,Australia,2016,81 min,,Horror Movies,A family Christmas gathering at an isolated Australian estate turns into the holiday from hell after a mysterious stranger turns up at the door.
What a Wonderful Family!,China,2017,102 min,,"Comedies, Dramas, International Movies","In a large family living under one roof, a storm brews when the matriarch requests a divorce from her husband on their 50th anniversary."
The Pursuit of Happyness,United States,2006,117 min,9,Dramas,"When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm."
Fishtronaut: The Movie,Brazil,2018,78 min,,Children & Family Movies,"Fishtronaut, Marina and Zeek travel to the big city in search of Grandpa, only to find that everyone else has mysteriously vanished too."
Girlfriend's Day,United States,2017,71 min,,"Comedies, Independent Movies","When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin."
Rodney King,United States,2017,53 min,10,Dramas,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.
Monopoly (The Bank Of Luck),Egypt,2017,117 min,,"Comedies, International Movies","Seeking revenge on his employer, a lazy bank agent and his two dim-witted friends concoct an elaborate but flawed heist."
Spanish Affair 2,Spain,2015,107 min,9,"Comedies, International Movies, Romantic Movies",Spanish provincialism is put into the spotlight as a man from the Basque Country embarks on a mission to keep his daughter from marrying a Catalan.
Cult of Chucky,United States,2017,90 min,5,Horror Movies,"Following a string of murders in the asylum where she's confined, Nica Pierce begins to wonder whether Chucky is real after all."
Oh! Baby (Malayalam),India,2019,146 min,,"Comedies, International Movies, Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
Natalia Valdebenito: Gritona,United States,2017,76 min,,Stand-Up Comedy,"Chile's Natalia Valdebenito hits Santiago's Teatro Caupolicán with a one-woman show steeped in irony, a dash of improv and her own personal style."
You Get Me,United States,2017,89 min,,"Dramas, Thrillers","After a one-night stand, Holly develops a dangerous obsession with Tyler and transfers to his high school, desperate to keep their ""romance"" alive."
Pukar,India,2000,165 min,9,"Action & Adventure, Dramas, International Movies",A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.
Tom Segura: Mostly Stories,United States,2016,74 min,,Stand-Up Comedy,"The bearded, bawdy and comically bitter Tom Segura gets real about body piercings, the ""Area 51"" of men's bodies, and the lie he told Mike Tyson."
We Belong Together,United States,2018,83 min,,Thrillers,A divorced professor shares a night of passion with a troubled student who quickly develops an unhealthy – perhaps deadly – infatuation.
My Suicide,United States,2009,111 min,,"Comedies, Dramas, Independent Movies","After declaring that he's going to film himself committing suicide for a school project, Archie videotapes reactions from friends and family."
3 Generations,United States,2015,92 min,4,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father."
Hattrick,India,2007,109 min,10,"Comedies, Dramas, International Movies",Stories of personal victories coincide with Team India's battle for the Cricket World Cup in this engaging ensemble drama.
Virsa,"India, Pakistan",2010,127 min,4,"Dramas, International Movies, Music & Musicals",A man is disheartened when he visits his well-to-do son and grandkids in Australia and sees they have detached from their traditional Indian morals.
Pee-wee's Big Holiday,United States,2016,90 min,,"Children & Family Movies, Comedies, Cult Movies",A chance encounter with a mysterious stranger (Joe Manganiello) points Pee-wee toward his destiny – and his first-ever holiday!
Secrets of the Tower of London,United Kingdom,2013,55 min,5,Documentaries,"Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and, finally, an armory and mint."
Blue Jasmine,United States,2013,98 min,,"Comedies, Dramas, Independent Movies",The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.
Ghost Tears,Japan,2014,58 min,,"Action & Adventure, Anime Features, International Movies","As Motoko and Batou attempt to thwart a mysterious terrorist group, Togusa tracks the killer of a man with a prosthetic leg made by Mermaid's Leg."
Annabelle Hooper and the Ghosts of Nantucket,United States,2016,92 min,6,Children & Family Movies,"While vacationing on picturesque Nantucket, a crafty teenage mystery writer contends with two thieves as she tries to solve a ghostly conundrum."
Quién te cantará,"Spain, France",2018,125 min,,"Dramas, Independent Movies, International Movies","When a near-drowning leaves a famous singer from the '90s with amnesia, she hires a karaoke singer who can imitate her to prep her for a comeback tour."
Bill Burr: You People Are All the Same,United States,2012,69 min,8,Stand-Up Comedy,"Funnyman Bill Burr takes the stage to uncork a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more."
Superfly,United States,1972,91 min,6,"Action & Adventure, Classic Movies, Dramas","To get away from the thug life, cocaine dealer Youngblood Priest puts together one last deal that will net him enough money to start over."
The Super,United States,2017,89 min,,Horror Movies,"When an ex-cop becomes a superintendent of an apartment building, he suspects the sinister janitor is behind the eerie disappearances of its tenants."
Meghnadbodh Rohoshyo,India,2017,150 min,,"Dramas, International Movies","A professor mysteriously vanishes, leaving behind a host of suspects, a shadowy history and a clue: the anonymous birthday gift of a Bengali classic."
Victim of Beauty,United States,1991,93 min,,"Dramas, Thrillers",A beauty pageant winner is stalked by a serial killer who kidnaps her sister and torments her family in this thriller based on a shocking true story.
Bad Rap,"United States, Canada",2016,83 min,,"Documentaries, Music & Musicals",Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.
Yoga Hosers,United States,2016,88 min,,"Comedies, Horror Movies, Independent Movies","With an all-important high school party at stake, two teen yoga fanatics enlist a man hunter to help fight an army of monsters created by Nazis."
Face 2 Face,United States,2017,89 min,,"Dramas, Independent Movies","Two former friends, who now live far apart, learn about each other's insecurities and secrets over a series of video chats."
Misfit,Netherlands,2017,81 min,,"Children & Family Movies, Comedies, International Movies","After living in America for years, a teenage girl moves back to the Netherlands and is quickly singled out as a misfit by the popular clique at school."
Di Renjie zhi Sidatianwang,"China, Hong Kong",2018,132 min,,"Action & Adventure, International Movies, Sci-Fi & Fantasy","Framed by an empress who plans to steal a dragon-taming mace, imperial magistrate Dee Renjie soon uncovers a greater plot that threatens the kingdom."
Sand Storm,"Israel, Germany, France",2016,88 min,8,"Dramas, Independent Movies, International Movies","When a Bedouin patriarch takes a second bride, his first wife chafes against her changing status while his daughter chases her own dreams of autonomy."
Katti Batti,India,2015,132 min,9,"Comedies, Dramas, International Movies","After falling in love during college, architect Maddy and free spirit Payal have five wonderful years together, until a mystery suddenly divides them."
Beyond Skyline,"United Kingdom, China, Canada, Indonesia, Singapore, United States",2017,107 min,9,"Action & Adventure, Sci-Fi & Fantasy","In the wake of an extraterrestrial invasion, a suspended L.A. cop teams up with survivors to stop the onslaught and rescue human captives."
Cheese in the Trap,South Korea,2016,1 Season,,"International TV Shows, Korean TV Shows, Romantic TV Shows","In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side."
Power Rangers: Megaforce: The Robo Knight Before Christmas,United States,2013,24 min,4,Children & Family Movies,Robo Knight learns the meaning of Christmas from a group of children when he is mistaken for a donated Christmas toy and is shipped to a foreign land.
Filmworker,United States,2017,94 min,,Documentaries,Leon Vitali had a thriving acting career most others would envy. Then he gave it all up to devote himself completely to the vision of Stanley Kubrick.
Rocky III,United States,1982,100 min,8,"Dramas, Sports Movies","After taking a pounding from a powerful young fighter, humbled world champ Rocky Balboa turns to ex-rival Apollo Creed for help in regaining his form."
The Imaginarium of Doctor Parnassus,"United Kingdom, Canada, France, United States",2009,123 min,,"Action & Adventure, Sci-Fi & Fantasy","When a deal with the devil comes due, the immortal Doctor Parnassus must renegotiate the pact to save his daughter and right the wrongs of his past."
The Invisible Guest,Spain,2016,106 min,8,"International Movies, Thrillers","After waking next to his now-dead lover in a hotel room, a young businessman hires a prominent lawyer to figure out how he ended up a murder suspect."
Oh! Baby (Tamil),India,2019,146 min,7,"Comedies, International Movies, Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
My Perfect Romance,Canada,2018,92 min,,"International Movies, Romantic Movies","Just in time for Valentine's Day, a program developer pitches a revolutionary dating algorithm to her new CEO, who volunteers them as guinea pigs."
Monster Island,"India, Mexico",2017,81 min,6,Children & Family Movies,"When a teenager discovers he's not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges."
Liss Pereira: Reteniendo líquidos,Brazil,2019,59 min,,Stand-Up Comedy,"A pregnant Liss Pereira shares hilariously uncomfortable truths about sex, love, attraction and the lies we tell in modern relationships."
Berserk: The Golden Age Arc III - The Advent,Japan,2013,107 min,,"Action & Adventure, Anime Features, International Movies","A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate."
The Bucket List,United States,2007,97 min,,"Comedies, Dramas",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.
Can't Help Falling in Love,Philippines,2017,120 min,8,"Comedies, Dramas, International Movies","Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger."
The Matrix,United States,1999,136 min,5,"Action & Adventure, Sci-Fi & Fantasy","A computer hacker learns that what most people perceive as reality is actually a simulation created by machines, and joins a rebellion to break free."
The Figurine (Araromire),Nigeria,2009,121 min,10,"Horror Movies, International Movies, Thrillers","When a pair of friends discovers a mystical sculpture in an abandoned shrine, good fortune is bestowed upon them – until luck starts running out."
Mythily Veendum Varunnu,India,2017,88 min,4,"Horror Movies, International Movies","After losing her father, a young woman moves to the city to earn money. When she finds a job at a mysterious bungalow, her worst nightmares come true."
Do Paise Ki Dhoop Chaar Aane Ki Baarish,India,2009,121 min,,"Dramas, Independent Movies, International Movies","When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family."
The Ryan White Story,United States,1989,94 min,7,Dramas,"After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school."
Naa Bangaaru Talli,India,2013,122 min,6,"Dramas, International Movies","A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking."
Darna Mana Hai,India,2003,116 min,4,"Horror Movies, International Movies, Thrillers","Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
Tere Naal Love Ho Gaya,India,2012,127 min,,"Comedies, International Movies, Romantic Movies","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father."
Echo in the Canyon,United States,2019,82 min,,"Documentaries, Music & Musicals","An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians."
Middle School: The Worst Years of My Life,"United States, Cambodia",2016,92 min,7,"Children & Family Movies, Comedies","At Hills Village Middle School, budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook."
Leo the Lion,"United States, Italy",2013,78 min,,"Children & Family Movies, Comedies","Eschewing the carnivorous ways of his fellow lions, maverick Leo follows a vegetarian diet – causing the other lions to shun him."
Escape from Mr. Lemoncello’s Library,United States,2017,69 min,7,Children & Family Movies,An eccentric game designer builds a library full of traps and tricks for a group of kids who score the chance to navigate his elaborate scavenger hunt.
The Lobster,"Ireland, United Kingdom, Greece, France, Netherlands",2015,119 min,5,"Comedies, International Movies, Romantic Movies","In a near-future world, single people are hunted and forced to find mates within 45 days, or be turned into animals and banished to the wilderness."
The Water Diviner,"Australia, United States",2014,111 min,,"Dramas, International Movies","Years after the presumed death of his three sons in battle, a grieving farmer journeys to Turkey to find them and return them to their homeland."
P,"United Kingdom, Thailand",2006,105 min,,"Horror Movies, International Movies","An orphan girl taught magic by her sick grandma must find work in seedy Bangkok, where unsavory characters run afoul of her increasingly dark powers."
The Wedding Party 2: Destination Dubai,Nigeria,2017,98 min,,"Comedies, International Movies, Romantic Movies","In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events."
The Wedding Party,Nigeria,2016,101 min,10,"Comedies, Dramas, International Movies","As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests."
The Blue Umbrella,India,2005,90 min,10,"Children & Family Movies, Dramas, Independent Movies","A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss."
Tarif de nuit,France,2015,81 min,10,"International Movies, Thrillers","A night out in Paris quickly unravels when two friends provoke the wrong taxi driver, who's after something bigger than cab fare."
Krystal,United States,2017,93 min,,"Comedies, Dramas",A kid with a heart condition falls for an ex-stripper with a lot of baggage and joins her Alcoholics Anonymous group to catch her attention.
Mallesham,India,2019,131 min,7,"Dramas, Independent Movies, International Movies","A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community."
Entanglement,Canada,2018,85 min,,"Dramas, Independent Movies, Romantic Movies","After his ailing father makes a shocking confession, a desperately depressed man sets out to find the woman he believes will change his destiny."
Incomplete,India,2017,119 min,,"Dramas, International Movies, Romantic Movies","A man returns to his childhood hometown, where he meets the happily married woman he once jilted, while his best friend endures a more volatile union."
Azhar,India,2016,129 min,,"Dramas, International Movies, Sports Movies","This biopic traces the tumultuous life and career of top cricket player Mohammad Azharuddin, who led India's national team in the 1990s."
A Wednesday,India,2008,103 min,4,"Action & Adventure, Dramas, International Movies","After receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants."
Jim Gaffigan: Mr. Universe,United States,2012,77 min,5,Stand-Up Comedy,"Funnyman Jim Gaffigan offers up his unique take on everything from Disney World to overweight whales in this live show from Washington, D.C."
The Pursuit,United States,2019,76 min,5,Documentaries,"In a time of turbulence for the free market system, one economist explores how it has lifted billions out of poverty, and might just save us all."
Cop Car,United States,2015,88 min,,Thrillers,Two mischievous boys get thrust into a game of cat and mouse with a murderous psychopath after they decide to steal a police officer’s cruiser.
Swiped,United States,2018,94 min,,Comedies,"When two college roommates develop a groundbreaking hookup app, casual affairs – and complications – soon run rampant on campus."
Young Adult,United States,2011,94 min,8,"Comedies, Dramas, Independent Movies","When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby, she returns to her hometown to reconnect with her ex."
Sample This,United States,2012,83 min,10,"Documentaries, Music & Musicals","This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it."
The Water Horse: Legend of the Deep,"New Zealand, United Kingdom, Australia",2007,112 min,9,Children & Family Movies,A boy watches an egg he found hatch into something incredible. But how long can he keep such a big secret from his mom – and the Scottish government?
Joan Rivers: Don't Start with Me,United States,2012,69 min,,Stand-Up Comedy,"At 78, Joan Rivers has no interest in slowing down, and no one's immune from her caustic barbs in this stand-up special."
Late Life: The Chien-Ming Wang Story,"United States, Taiwan",2018,98 min,,"Documentaries, Sports Movies",Injuries sidelined the bright career of New York Yankees pitcher Chien-Ming Wang. This documentary captures his relentless battle back to the majors.
The World's Most Wanted Animal,United Kingdom,2018,53 min,,Documentaries,"A conservationist shares her emotional journey in helping save rare, scaly mammals that have been illegally trafficked and now face extinction."
Æon Flux,United States,2005,93 min,,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader."
Pyar Ke Do Pal,India,1986,153 min,4,"Dramas, International Movies, Music & Musicals","Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before."
Sairat,India,2016,173 min,9,"Dramas, International Movies, Romantic Movies","When two college students – a rich man’s daughter and a fisherman’s son – defy social edicts by falling in love, violence erupts in their village."
Old Money,United States,2015,1 Season,,"International TV Shows, TV Comedies, TV Dramas","Backstabbing, blackmail and revenge consume the dysfunctional family of a wealthy patriarch as they compete to find him a new liver at all costs."
Kristy,United States,2013,85 min,,Horror Movies,"Opting to stay on campus over the Thanksgiving holiday, coed Justine and a handful of friends find their break violently disrupted by a sadistic gang."
6 Balloons,United States,2018,75 min,,"Dramas, Independent Movies",A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.
Game Over (Tamil Version),"India, Turkey",2019,98 min,7,"Horror Movies, International Movies, Thrillers","As a series of murders hit close to home, a video game designer with post-traumatic stress must confront her demons, or risk becoming their victim."
Kickboxer: Retaliation,United States,2017,110 min,9,Action & Adventure,"Sloan's vow to never return to Thailand is cut short when he's kidnapped and taken to a Thai prison, where he's forced to fight a 400-pound brute."
Little Miss Sumo,United Kingdom,2018,20 min,7,"Documentaries, International Movies, Sports Movies","In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan’s national pastime."
The American Meme,United States,2018,98 min,7,Documentaries,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires – and face the pitfalls of fame."
Death Note,United States,2017,100 min,,"Horror Movies, Thrillers","Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class."
Babel,"France, United States, Mexico",2006,143 min,,"Dramas, Independent Movies","When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries."
SDU: Sex Duties Unit,Hong Kong,2013,96 min,,"Comedies, International Movies",Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.
W/O Ram,India,2018,115 min,5,"Dramas, International Movies, Thrillers","Frustrated with the stalled investigation into her husband's murder, a woman searches for the killer on her own, putting herself in grave danger."
Love for Sale,Indonesia,2018,101 min,,"Dramas, International Movies, Romantic Movies","Richard accepts a bet that he can't find a companion to a friend's wedding, not knowing the dating app he's using includes a 45-day contract."
Justin Timberlake + the Tennessee Kids,United States,2016,90 min,6,Music & Musicals,"On the final nights of a world tour, director Jonathan Demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star."
Painted Faces,Hong Kong,1988,108 min,,"Dramas, International Movies","In this dramatized rendition, students undergo rigorous study at Master Yu's Peking Opera school, a cradle for future Hong Kong film stars."
The Cloverfield Paradox,United States,2018,102 min,7,"Action & Adventure, Sci-Fi & Fantasy","Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
Monty Python: Before the Flying Circus,United Kingdom,2000,56 min,7,"Comedies, Documentaries","Discover how six seemingly ordinary but supremely talented men became Monty Python, sketch comedy's revolutionary comedy troupe."
Bright,United States,2017,118 min,7,"Action & Adventure, Sci-Fi & Fantasy","In an LA rife with interspecies tensions, a human cop and his orc partner stumble on a powerful object and become embroiled in a prophesied turf war."
Ricky Gervais: Humanity,United Kingdom,2018,79 min,,Stand-Up Comedy,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally."
